driver,avg,variance,std_variance,avg_per_unit,score_1,cost_1,score_2,cost_2,score_3,cost_3,score_4,cost_4,score_5,cost_5,score_6,cost_6,score_7,cost_7,score_8,cost_8
max,46.6,212.3,0.19,6.249081903,35,26.9,61,27,36,27.1,37,27.2,64,27.3,35,27.4,46,27.5,,27.6
alo,27.4,44.8,0.06,13.08206356,39,8.3,23,8.5,23,8.7,27,8.9,25,9.1,27,9.2,14,9.4,,9.4
per,41,221,0.28,9.734982022,28,18,36,18.1,52,18.2,61,18.3,28,18.4,10,18.4,27,18.4,,18.4
gas,10.8,60.7,0.09,5.421559771,20,8.1,6,8.2,1,8.2,17,8.1,10,8.1,10,8.1,14,8.1,,8.1
sai,16,32.5,0.04,3.488372093,19,17.2,12,17.2,8,17.2,21,17.2,20,17.2,6,17.2,19,17.2,,17.2
ham,21.4,26.3,0.03,3.498741269,19,23.7,16,23.7,29,23.7,19,23.8,24,23.8,28,23.8,39,23.9,,24
str,10.8,202.7,0.34,5.592982456,17,7.5,-14,7.6,21,7.5,18,7.6,12,7.7,-17,7.7,16,7.6,,7.6
rus,16,189.5,0.24,2.802964255,16,18.6,18,18.6,-7,18.6,25,18.5,28,18.6,16,18.6,31,18.6,,18.7
zhou,5.4,110.3,0.17,5.306122449,15,4.9,6,4.9,15,4.9,-10,4.9,1,4.8,11,4.7,16,4.7,,4.7
albon,-3.6,155.8,0.25,-3.127692014,13,5.5,-17,5.5,-15,5.4,2,5.3,-1,5.2,0,5.1,5,5,,4.9
bot,4.8,51.7,0.07,2.838827839,13,7.8,-2,7.8,12,7.7,-1,7.7,2,7.6,10,7.5,2,7.5,,7.4
srg,-0.2,137.7,0.03,4.005735493,11,4,2,4,5,3.9,-20,3.8,1,3.7,0,3.6,1,3.5,,3.5
tsu,5.4,118.3,0.13,2.291666667,8,4.8,9,4.8,7,4.8,-13,4.8,16,4.7,-4,4.7,11,4.6,,4.6
nick,0.6,86.3,0.14,0.5387755102,8,5,7,5,3,5,-15,4.9,0,4.8,0,4.7,6,4.6,,4.5
mag,8.2,26.2,0.03,5.26006332,8,6.7,9,6.7,2,6.7,16,6.6,6,6.6,-19,6.5,9,6.4,,6.4
hulk,3.4,21.3,0.03,3.176268806,-1,4.3,1,4.2,11,4.1,2,4.1,4,4,7,3.9,3,3.9,,3.8
nor,5.2,69.2,0.1,2.253056628,-1,11.2,7,11.1,19,11.1,0,11.2,1,11.1,6,11,-2,11,,10.9
lec,9.2,437.2,0.72,1.427613342,-11,21.2,27,21.1,-15,21.2,29,21.1,16,21.2,16,21.2,14,21.2,,21.2
pia,3,140,0.23,1.533552551,-16,7,2,6.9,16,6.8,8,6.8,5,6.8,4,6.7,3,6.6,,6.5
oco,1.4,111.3,0.16,-0.0798991376,-17,9.4,7,9.3,2,9.3,7,9.2,8,9.2,32,9.2,9,9.4,,9.4
redbull,95.2,117.7,0.19,13.8514156,78,27.2,95,27.3,98,27.4,108,27.5,97,27.6,63,27.7,96,27.8,,27.9
aston,45.2,246.7,0.41,27.06451757,56,6.7,19,6.8,54,6.8,55,6.9,42,7,15,7,40,7,,7
mercedes,45.4,82.3,0.06,6.772908367,45,25.1,44,25.1,32,25.1,49,25.1,57,25.1,54,25.1,65,25.2,,25.2
ferrari,42.4,641.8,1,7.058212058,31,22.1,59,22.1,3,22.2,63,22.1,56,22.2,37,22.2,38,22.2,,22.2
alfa,12.4,270.3,0.45,8.751983078,31,6.2,7,6.2,26,6.1,-10,6.1,8,6,22,5.9,19,5.9,,5.9
williams,-2,278,0.47,-2.296518607,25,5.1,-16,5.1,-5,5,-15,4.9,1,4.8,1,4.7,5,4.6,,4.5
haas,15,6.5,0,11.44775036,12,5.3,13,5.3,18,5.2,17,5.2,15,5.2,-13,5.1,17,5,,5
alphatauri,7.8,299.2,0.46,3.391017025,17,6.4,15,6.3,13,6.3,-23,6.2,17,6.1,1,6.1,20,6,,6
alpine,20,94.5,0.12,7.217331733,8,10.1,28,10,11,10,25,9.9,28,9.9,42,9.9,33,10,,10
mclaren,13,374,0.62,6.352869353,-16,9.1,14,9,36,9,23,9,8,9,15,8.9,11,8.9,,8.8
