race_no,driver_id,score,cost
1,1,35,26.9
1,2,39,8.3
1,3,28,18
1,4,20,8.1
1,5,19,17.2
1,6,19,23.7
1,7,17,7.5
1,8,16,18.6
1,9,15,4.9
1,10,13,5.5
1,11,13,7.8
1,12,11,4
1,13,8,4.8
1,14,8,5
1,15,8,6.7
1,16,-1,4.3
1,17,-1,11.2
1,18,-11,21.2
1,19,-16,7
1,20,-17,9.4
2,1,61,27
2,2,23,8.5
2,3,36,18.1
2,4,6,8.2
2,5,12,17.2
2,6,16,23.7
2,7,-14,7.6
2,8,18,18.6
2,9,6,4.9
2,10,-17,5.5
2,11,-2,7.8
2,12,2,4
2,13,9,4.8
2,14,7,5
2,15,9,6.7
2,16,1,4.2
2,17,7,11.1
2,18,27,21.1
2,19,2,6.9
2,20,7,9.3
3,1,36,27.1
3,2,23,8.7
3,3,52,18.2
3,4,1,8.2
3,5,8,17.2
3,6,29,23.7
3,7,21,7.5
3,8,-7,18.6
3,9,15,4.9
3,10,-15,5.4
3,11,12,7.7
3,12,5,3.9
3,13,7,4.8
3,14,3,5
3,15,2,6.7
3,16,11,4.1
3,17,19,11.1
3,18,-15,21.2
3,19,16,6.8
3,20,2,9.3
4,1,37,27.2
4,2,27,8.9
4,3,61,18.3
4,4,17,8.1
4,5,21,17.2
4,6,19,23.8
4,7,18,7.6
4,8,25,18.5
4,9,-10,4.9
4,10,2,5.3
4,11,-1,7.7
4,12,-2,3.8
4,13,-13,4.8
4,14,-15,4.9
4,15,16,6.6
4,16,2,4.1
4,17,0,11.2
4,18,29,21.1
4,19,8,6.8
4,20,7,9.2
5,1,64,27.3
5,2,25,9.1
5,3,28,18.4
5,4,10,8.1
5,5,20,17.2
5,6,24,23.8
5,7,12,7.7
5,8,28,18.6
5,9,1,4.8
5,10,-1,5.2
5,11,2,7.6
5,12,1,3.7
5,13,16,4.7
5,14,0,4.8
5,15,6,6.6
5,16,4,4
5,17,1,11.1
5,18,16,21.2
5,19,5,6.8
5,20,8,9.2
6,1,35,27.4
6,2,27,9.2
6,3,10,18.4
6,4,10,8.1
6,5,6,17.2
6,6,28,23.8
6,7,-17,7.7
6,8,16,18.6
6,9,11,4.7
6,10,0,5.1
6,11,10,7.5
6,12,0,3.6
6,13,-4,4.7
6,14,0,4.7
6,15,-19,6.5
6,16,7,3.9
6,17,6,11
6,18,16,21.2
6,19,4,6.7
6,20,32,9.2
7,1,46,27.5
7,2,14,9.4
7,3,27,18.4
7,4,14,8.1
7,5,19,17.2
7,6,39,23.9
7,7,16,7.6
7,8,31,18.6
7,9,16,4.7
7,10,5,5
7,11,2,7.5
7,12,1,3.5
7,13,11,4.6
7,14,6,4.6
7,15,9,6.4
7,16,3,3.9
7,17,-2,11
7,18,14,21.2
7,19,3,6.6
7,20,9,9.4
8,1,,27.6
8,2,,9.4
8,3,,18.4
8,4,,8.1
8,5,,17.2
8,6,,24
8,7,,7.6
8,8,,18.7
8,9,,4.7
8,10,,4.9
8,11,,7.4
8,12,,3.5
8,13,,4.6
8,14,,4.5
8,15,,6.4
8,16,,3.8
8,17,,10.9
8,18,,21.2
8,19,,6.5
8,20,,9.4
