race_no,team_id,score,cost
1,21,78,27.2
1,22,56,6.7
1,23,45,25.1
1,24,31,22.1
1,25,31,6.2
1,26,25,5.1
1,27,12,5.3
1,28,17,6.4
1,29,8,10.1
1,30,-16,9.1
2,21,95,27.3
2,22,19,6.8
2,23,44,25.1
2,24,59,22.1
2,25,7,6.2
2,26,-16,5.1
2,27,13,5.3
2,28,15,6.3
2,29,28,10
2,30,14,9
3,21,98,27.4
3,22,54,6.8
3,23,32,25.1
3,24,3,22.2
3,25,26,6.1
3,26,-5,5
3,27,18,5.2
3,28,13,6.3
3,29,11,10
3,30,36,9
4,21,108,27.5
4,22,55,6.9
4,23,49,25.1
4,24,63,22.1
4,25,-10,6.1
4,26,-15,4.9
4,27,17,5.2
4,28,-23,6.2
4,29,25,9.9
4,30,23,9
5,21,97,27.6
5,22,42,7
5,23,57,25.1
5,24,56,22.2
5,25,8,6
5,26,1,4.8
5,27,15,5.2
5,28,17,6.1
5,29,28,9.9
5,30,8,9
6,21,63,27.7
6,22,15,7
6,23,54,25.1
6,24,37,22.2
6,25,22,5.9
6,26,1,4.7
6,27,-13,5.1
6,28,1,6.1
6,29,42,9.9
6,30,15,8.9
7,21,96,27.8
7,22,40,7
7,23,65,25.2
7,24,38,22.2
7,25,19,5.9
7,26,5,4.6
7,27,17,5
7,28,20,6
7,29,33,10
7,30,11,8.9
8,21,,27.9
8,22,,7
8,23,,25.2
8,24,,22.2
8,25,,5.9
8,26,,4.5
8,27,,5
8,28,,6
8,29,,10
8,30,,8.8
